年月日,平均気温,平均湿度,天気概況
2017/2/16,7.3,55,晴
2004/10/19,16,79,雨
2020/9/24,19,92,雨
2002/4/2,19.2,51,晴
2013/11/29,9.8,34,晴
2013/1/11,5.1,36,晴
2003/1/2,3.4,49,晴
2011/8/1,24.5,69,曇
2004/10/16,15.5,61,曇
2002/3/13,11.9,33,晴
2016/7/16,24.1,79,曇
2015/9/7,23,98,雨
2017/10/28,14.4,86,雨
2014/6/10,23.5,79,曇
2000/6/28,24.3,85,雨
2008/12/31,6.6,30,晴
2007/11/15,16.5,53,晴
2020/4/13,8,97,雨
2016/9/20,19.1,100,雨
2013/1/29,7.1,36,晴
2012/5/15,18.7,86,雨
2007/2/23,11.1,73,雨
2001/10/27,17.4,60,晴
2004/11/27,16.7,39,晴
2003/11/19,13.5,53,曇
2019/10/8,21.7,89,曇
2013/4/13,12.3,50,晴
2003/7/6,21.2,74,曇
2001/10/29,18.4,58,曇
2000/12/29,6.5,37,晴
2006/5/25,18.5,59,晴
2011/2/13,4.7,41,晴
2001/1/13,3.8,45,曇
2006/8/28,26,66,曇
2010/2/7,4.9,34,晴
2008/6/29,21,88,雨
2011/8/27,24.3,77,曇
2016/3/17,13.1,49,晴
2021/1/2,4.8,53,晴
2001/2/17,4.9,39,晴
2018/7/6,21.7,99,雨
2019/6/30,21.6,99,雨
2021/4/29,17.2,91,雨
2014/10/29,16.4,43,晴
2002/8/19,25.7,86,雨
2003/7/16,23,71,曇
2013/9/27,19.8,47,晴
2004/9/24,23.1,75,曇
2012/11/10,15.7,47,晴
2015/1/31,4.9,56,晴
2021/1/23,6.4,85,雨
2004/9/18,26.1,65,曇
2015/1/3,3.8,42,晴
2001/9/7,23.4,70,曇
2011/8/31,26.4,75,曇
2008/1/4,7,43,晴
2014/8/6,30.8,64,晴
2013/5/17,18,61,晴
2008/9/15,24.4,74,曇
2019/10/21,18.2,78,曇
2004/6/6,21.8,82,雨
2006/9/12,21.8,82,雨
2017/7/27,24.2,81,曇
2000/6/14,19.3,88,雨
2005/2/18,6.2,48,曇
2005/5/4,19.3,55,晴
2001/9/24,19.4,56,晴
2016/6/13,19.8,98,雨
2011/2/17,10,59,曇
2003/12/2,14.1,53,晴
2004/6/15,25,49,晴
2007/12/22,7.1,58,雨
2010/10/19,18.6,62,曇
2002/4/18,16.3,50,曇
2016/2/24,5.8,50,曇
2008/9/30,17.2,88,雨
2006/2/11,7.5,44,晴
2020/7/25,25.1,98,雨
2012/2/4,5.5,33,晴
2010/1/19,8.4,51,晴
2014/2/6,2.7,33,曇
2003/3/6,4.8,58,曇
2010/5/30,14.5,65,曇
2009/6/14,20.7,76,曇
2002/6/24,19.6,64,曇
2016/11/15,15.3,83,曇
2004/4/29,17.6,31,晴
2006/2/10,5.6,33,晴
2005/10/17,17.9,85,雨
2019/11/16,12.8,65,晴
2002/8/12,26.7,74,曇
2014/10/9,21,69,曇
2019/10/13,24.5,53,晴
2009/9/12,21.4,79,雨
2021/6/4,21,97,雨
2005/12/27,4.8,26,晴
2013/6/13,21.4,93,雨
2012/8/21,29.7,67,晴
2020/1/24,9.9,73,曇
2011/4/12,11.4,29,晴
2010/10/28,10,73,雨
2017/10/24,15.1,62,曇
2012/2/14,5.2,73,雨
2000/6/21,25.1,75,曇
2005/5/12,13.6,65,曇
2018/6/14,20.6,72,曇
2002/11/16,9.7,62,曇
2003/7/12,25.8,75,曇
2008/2/18,5.3,28,晴
2000/10/12,22.7,68,晴
2002/10/12,17.5,57,晴
2003/12/28,7,33,晴
2017/1/31,5.9,37,晴
2003/8/30,25.8,62,曇
2007/8/30,24.5,77,雨
2017/8/31,21.6,88,雨
2000/12/9,11.2,46,晴
2005/11/8,17.7,41,晴
2006/7/18,21.6,84,雨
2014/7/7,23.4,89,雨
2002/2/19,6.4,31,晴
2019/10/3,24.5,74,曇
2020/2/11,6.3,46,晴
2018/3/25,13,62,晴
2014/3/8,5.9,36,晴
2013/8/4,27.8,75,曇
2014/4/30,16.7,89,雨
2010/10/30,12.3,81,雨
2000/12/16,11.7,44,晴
2015/5/2,21,66,晴
2013/11/21,12,46,晴
2020/12/21,5.3,40,晴
2019/1/5,7.4,52,晴
2005/12/17,6.9,33,晴
2003/6/24,22.7,80,雨
2018/7/25,28.1,81,曇
2020/12/3,8.1,91,曇
2003/4/14,14.9,48,曇
2005/2/26,4.4,37,曇
2019/1/24,6.2,36,晴
2016/11/16,12.5,52,曇
2007/9/18,25.1,73,曇
2008/1/2,6.2,35,晴
2008/5/28,21.3,61,曇
2005/1/18,8.4,34,晴
2000/4/26,14.3,72,雨
2014/6/21,24.6,73,曇
2000/9/29,22,53,曇
2015/2/26,6.6,85,雨
2011/2/26,7.2,32,晴
2019/11/12,15.1,59,晴
2009/7/21,22.8,81,雨
2005/5/13,12.6,65,曇
2017/12/6,6.9,56,晴
2018/12/2,10,58,曇
2015/8/27,23.6,81,曇
2003/7/8,20,84,雨
2018/3/4,13.9,63,晴
2002/12/7,6.5,71,雨
2006/5/21,21.7,44,晴
2012/3/29,11.7,37,晴
2019/7/5,21.9,84,曇
2007/11/10,13.2,85,雨
2014/12/16,3.6,75,雨
2004/4/19,19.3,69,曇
2013/12/31,6.9,54,晴
2002/9/15,20,71,曇
2020/4/16,11.7,66,曇
2015/8/17,25.7,96,雨
2008/9/18,24.1,74,雨
2009/4/15,19.7,51,晴
2013/12/3,11.7,53,晴
2009/3/30,8.7,40,晴
2004/2/2,5.8,67,雨
2020/4/18,12.9,96,雨
2020/4/8,14.3,60,晴
2012/5/2,18.8,84,雨
2005/4/19,15.2,53,晴
2003/2/21,7.3,36,晴
2013/6/26,21.8,87,雨
2006/10/9,21.2,42,晴
2000/2/11,6.4,38,晴
2013/6/23,23.4,75,曇
2003/5/26,17.2,72,曇
2008/6/8,21.7,73,曇
2001/1/6,4.5,34,晴
2002/11/25,10.9,84,雨
2009/10/5,19.6,76,雨
2003/11/29,11.6,87,雨
2012/7/12,26.7,82,雨
2014/11/13,15,50,晴
2012/7/1,21.9,73,雨
2008/4/18,13.4,88,雨
2014/8/28,21.1,91,雨
2009/1/29,8.9,62,曇
2008/5/19,19.7,73,曇
2000/6/13,18.1,90,雨
2004/10/4,16.8,88,雨
2006/3/15,8.4,38,晴
2008/6/18,22.2,68,曇
2013/4/2,10.6,89,雨
2018/12/3,13.2,69,曇
2007/4/3,8.8,74,雨
2020/5/3,20.7,70,曇
2016/5/5,22.1,37,晴
2012/12/13,7.1,39,晴
2005/1/16,5.3,81,雨
2008/10/2,19.6,53,晴
2001/12/23,7.1,31,晴
2014/2/13,5.3,47,曇
2001/4/13,15.6,39,晴
2001/3/10,6.4,41,晴
2005/2/11,5.5,28,曇
2001/10/13,21.5,48,晴
2018/4/23,16.5,80,曇
2020/3/2,7.3,94,雨
2003/12/5,8.1,53,雨
2010/3/15,13.7,64,曇
2017/6/27,23.2,87,曇
2003/6/10,20.3,66,曇
2000/12/13,8.2,39,晴
2018/4/20,18.7,61,晴
2014/7/13,26.9,76,曇
2019/5/6,18.8,70,曇
2006/12/23,9.4,53,晴
2020/3/27,16.2,69,曇
2002/12/11,5.3,55,晴
2016/5/22,22.4,48,晴
2006/7/12,28.3,71,曇
2014/3/14,10.1,47,曇
2012/5/3,17.9,95,雨
2002/11/7,9.6,53,曇
2005/2/24,7.1,51,曇
2016/3/14,5.7,89,雨
2020/12/5,6.6,86,雨
2003/3/25,11.3,84,雨
2007/9/6,27.3,81,雨
2019/6/2,22,76,曇
2008/7/15,27.8,66,曇
2000/4/3,10.1,46,曇
2002/12/21,5,72,雨
2015/8/5,30.2,69,晴
2010/12/7,12.2,57,曇
2009/7/29,28.2,77,曇
2001/5/24,19.6,88,雨
2009/12/20,6.3,35,晴
2007/3/24,13.4,60,曇
2021/7/26,27.5,66,曇
2007/5/13,20.7,49,曇
2020/10/22,17.4,70,曇
2000/5/31,22.2,70,雨
2014/10/19,18.3,58,晴
2016/6/28,19.1,95,雨
2016/1/29,5.4,78,雨
2002/6/17,23.2,71,曇
2016/12/30,6,43,晴
2005/7/17,28,73,曇
2003/2/7,6.2,47,晴
2019/3/8,7.3,47,晴
2018/9/29,18.8,95,雨
2018/6/10,20,91,雨
2001/1/24,5.3,33,晴
2006/6/3,19.2,68,曇
2011/6/15,21.3,58,曇
2001/6/13,21.9,69,曇
2013/6/4,23.2,61,晴
2016/8/27,24.3,87,雨
2010/2/17,3.1,59,曇
2002/2/15,5.9,27,晴
2011/6/19,21.8,75,曇
2015/8/20,25.6,92,雨
2012/1/15,4.5,38,曇
2008/7/6,27,76,曇
2006/7/10,26.2,75,曇
2006/1/8,4.2,27,晴
2016/7/15,22.2,94,雨
2011/12/1,7.8,73,雨
2014/12/27,4.6,38,晴
2018/11/15,12.5,60,晴
2013/12/26,6.3,59,曇
2000/4/30,16.9,50,曇
2018/10/29,17,74,晴
2014/9/18,22.3,49,曇
2005/7/24,24.6,74,曇
2018/10/3,21,77,曇
2019/6/12,18,78,曇
2011/2/3,7.4,46,晴
2003/5/15,16.9,86,雨
2010/5/11,17.1,77,雨
2015/12/19,7.1,44,晴
2018/8/7,22.2,93,雨
